"";"ID";"Baum-Nr";"Fall";"Fallnummer";"Z_Oeffnung";"Z_laeng";"Z_breit";"DM_Spitz";"DM_max";"DM_mit";"Woel_aufg";"Woel_flach";"Verh_LB";"Asym";"Apo_L";"Apo_B";"Apo_S";"Entf";"Verh_LABA";"Verh_LASA";"Stiel_L";"Baumseite";"Fallgruppe";"Bart";"Region";"Population";"Hakigkeit"
"383";"R2_Pmu_3.7";17;"R./P.m.ssp.u. 3";"R./P.u. 3";"o";34,91;32,9;2,58;34,93;18,755;55;45;1,06109422492401;1,22222222222222;5,93;7,04;2,89;5,63;0,842329545454545;2,05190311418685;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,949409780775717
"384";"R2_Pmu_3.8";17;"R./P.m.ssp.u. 3";"R./P.u. 3";"o";30,72;30,65;2,57;30,65;16,61;50;45;1,00228384991843;1,11111111111111;5,87;7,64;2,95;6,77;0,768324607329843;1,98983050847458;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";1,15332197614991
"385";"R2_Pmu_4.1";18;"R./P.m.ssp.u. 4";"R./P.u. 4";"o";37,97;37;3,76;37,05;20,405;65;50;1,02621621621622;1,3;5,61;7,02;1,92;6,15;0,799145299145299;2,921875;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";1,09625668449198
"386";"R2_Pmu_4.2";18;"R./P.m.ssp.u. 4";"R./P.u. 4";"o";34,43;33,26;3,41;33,24;18,325;65;40;1,03517739025857;1,625;5,82;6,72;2,62;6;0,866071428571429;2,22137404580153;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";1,03092783505155
"387";"R2_Pmu_4.3";18;"R./P.m.ssp.u. 4";"R./P.u. 4";"o";42,25;36,49;3,04;37,73;20,385;73;50;1,15785146615511;1,46;5,38;6,33;2,98;4,74;0,849921011058452;1,80536912751678;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,881040892193309
"388";"R2_Pmu_4.4";18;"R./P.m.ssp.u. 4";"R./P.u. 4";"o";34,6;33,58;2,36;34,53;18,445;60;45;1,03037522334723;1,33333333333333;5,96;5,86;2,38;4,45;1,01706484641638;2,50420168067227;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,746644295302013
"389";"R2_Pmu_4.5";18;"R./P.m.ssp.u. 4";"R./P.u. 4";"o";28,33;23,48;2,42;26,42;14,42;50;30;1,20655877342419;1,66666666666667;4,22;4,67;1,97;3,43;0,903640256959315;2,14213197969543;2;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,812796208530806
"390";"R2_Pmu_4.6";18;"R./P.m.ssp.u. 4";"R./P.u. 4";"o";36,23;33,09;3,62;35,34;19,48;65;40;1,09489271683288;1,625;6,55;8,36;2,99;5,17;0,783492822966507;2,19063545150502;2,97;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,789312977099237
"391";"R2_Pmu_4.7";18;"R./P.m.ssp.u. 4";"R./P.u. 4";"o";33,29;34,56;2,09;37,13;19,61;65;43;0,963252314814815;1,51162790697674;5,25;6,07;2,59;5,66;0,864909390444811;2,02702702702703;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";1,07809523809524
"392";"R2_Pmu_4.8";18;"R./P.m.ssp.u. 4";"R./P.u. 4";"o";31,12;32,19;1,69;34,75;18,22;60;35;0,966759863311588;1,71428571428571;5,77;6,41;2,32;5,53;0,900156006240249;2,48706896551724;2,18;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,95840554592721
"393";"R2_Pmu_5.1";19;"R./P.m.ssp.u. 5";"R./P.u. 5";"o";43;34,41;2,39;38,32;20,355;63;62;1,2496367335077;1,01612903225806;4,35;6,84;2,37;5,37;0,635964912280702;1,83544303797468;3,2;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";1,23448275862069
"394";"R2_Pmu_5.2";19;"R./P.m.ssp.u. 5";"R./P.u. 5";"o";37,21;42,1;2,63;44,16;23,395;75;55;0,883847980997625;1,36363636363636;5,51;7,62;2,79;7,01;0,723097112860892;1,97491039426523;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";1,27223230490018
